"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 16:23:40 GMT 2025","Sun Jan 12 16:23:42 GMT 2025","1964","Surefire suite","Surefire test","tests.gui.LoginTests","tests.gui.LoginTests","loginTest","Успtшный вход","Тест проверка"
"passed","Sun Jan 12 16:23:45 GMT 2025","Sun Jan 12 16:23:45 GMT 2025","522","Surefire suite","Surefire test","tests.gui.LoginTests","tests.gui.LoginTests","notLoginTest","Не успешный вход",""
"passed","Sun Jan 12 16:23:48 GMT 2025","Sun Jan 12 16:23:51 GMT 2025","2866","Surefire suite","Surefire test","tests.gui.AddProjectTest","tests.gui.AddProjectTest","addProject","Тест на создание проекта",""
